"NAF Nr";"NAF name";"Country";"Registration Date";"Expiry Date"
"148";"playfulhands";"Netherlands";"2003-02-07";"2004-08-07"
"149";"Podfrey";"England";"2003-02-07";"2023-04-09"
"150";"Triq";"United States of America";"2003-02-07";"2012-02-10"
"151";"Straeten";"Netherlands";"2003-02-07";"2011-10-08"
"152";"Gorbad";"Netherlands";"2003-02-07";"2024-01-09"
"153";"Mole";"Netherlands";"2003-02-07";"2010-05-31"
"154";"Jonny_P";"United States of America";"2003-02-08";"2025-11-14"
"155";"rmyers";"United States of America";"2003-02-08";"2004-08-08"
"156";"Annhwi";"United States of America";"2003-02-08";"2004-08-08"
"157";"puttz169";"";"2003-02-08";"2004-08-08"
"158";"Jiriki13";"United States of America";"2003-02-08";"2024-11-20"
"159";"Quilwood";"United States of America";"2003-02-08";"2004-08-08"
"160";"Lord_Prussian";"United States of America";"2003-02-08";"2023-04-16"
"161";"KamikazeRudy";"United States of America";"2003-02-08";"2016-05-28"
"162";"KidCrestHill";"United States of America";"2003-02-08";"2024-10-04"
"163";"Carnage4u";"United States of America";"2003-02-08";"2004-08-08"
"164";"SourWyrm";"United States of America";"2003-02-08";"2004-08-08"
"165";"Valkeer";"United States of America";"2003-02-08";"2004-08-08"
"166";"liviath";"United States of America";"2003-02-08";"2004-08-08"
"167";"reify";"United States of America";"2003-02-08";"2004-08-08"
"168";"CBBakke";"United States of America";"2003-02-08";"2004-08-08"
"169";"Talus";"";"2003-02-08";"2004-08-08"
"170";"Zarhan";"United States of America";"2003-02-08";"2011-08-22"
"171";"majortusk";"United States of America";"2003-02-08";"2026-01-29"
"172";"Tim";"Germany";"2003-02-10";"2023-09-13"
"173";"Squaq";"Denmark";"2003-02-10";"2004-08-16"
"176";"veron";"Finland";"2003-02-10";"2006-07-24"
"179";"guenne";"Austria";"2003-02-10";"2007-11-14"
"180";"sellsje";"United States of America";"2003-02-10";"2024-06-22"
"181";"TiMuN";"Spain";"2003-02-10";"2007-12-12"
"182";"Ureus";"Spain";"2003-02-10";"2005-04-03"
"183";"mozingerz";"Spain";"2003-02-10";"2004-08-10"
"184";"gonmorcas";"Spain";"2003-02-10";"2025-08-09"
"185";"mrinprophet";"United States of America";"2003-02-10";"2012-05-20"
"188";"Narkotic";"Germany";"2003-02-10";"2009-06-22"
"190";"GDRA";"Spain";"2003-02-10";"2010-07-18"
"191";"JohnnyP";"England";"2003-02-10";"2012-05-20"
"192";"Poul_Piepgrass";"Denmark";"2003-02-10";"2005-10-27"
"193";"tchatt";"United States of America";"2003-02-10";"2013-05-21"
"194";"Sixpack";"United States of America";"2003-02-10";"2004-08-10"
"195";"skummy";"United States of America";"2003-02-10";"2013-07-18"
"196";"Apedog";"England";"2003-02-10";"2008-01-24"
"198";"snew";"United States of America";"2003-02-10";"2017-10-06"
"200";"phil";"United States of America";"2003-02-10";"2011-10-08"
"201";"darthnoir";"United States of America";"2003-02-10";"2026-03-26"
"203";"MattRobson";"England";"2003-02-10";"2024-07-01"
"204";"BlanchPrez";"United States of America";"2003-02-10";"2005-12-27"
"206";"Hochiu";"Ireland";"2003-02-10";"2004-08-10"
"207";"doc_drak";"Spain";"2003-02-10";"2026-01-31"
"208";"Pyrius";"Germany";"2003-02-10";"2004-08-14"
"209";"Matsu";"United States of America";"2003-02-10";"2004-08-10"
"210";"fe2mike";"United States of America";"2003-02-10";"2027-03-06"
"211";"Draud";"Spain";"2003-02-10";"2004-08-10"
"212";"Lupus";"Spain";"2003-02-10";"2019-11-30"
"213";"Janzki";"Finland";"2003-02-10";"2006-10-27"
"214";"Linke";"Sweden";"2003-02-10";"2012-10-11"
"216";"HighandMighty";"United States of America";"2003-02-10";"2004-08-10"
"219";"Thadrin";"Scotland";"2003-02-10";"2020-01-22"
"220";"SunDancer";"Germany";"2003-02-10";"2026-02-19"
"224";"Eje";"Spain";"2003-02-10";"2009-11-14"
"225";"Rohanman";"United States of America";"2003-02-10";"2004-08-10"
"227";"Evilbutgood";"United States of America";"2003-02-10";"2027-03-11"
"229";"Odium_Khan";"Sweden";"2003-02-10";"2016-04-21"
"230";"lawquoter";"United States of America";"2003-02-10";"2024-09-24"
"231";"Arkeo";"Sweden";"2003-02-10";"2018-05-07"
"232";"Moonsong";"Italy";"2003-02-10";"2004-08-11"
"233";"rapture";"United States of America";"2003-02-10";"2004-08-10"
"237";"shaven_wookie";"England";"2003-02-10";"2005-08-10"
"245";"Dragoonkin";"Canada";"2003-02-10";"2011-06-10"
"247";"DangerousDave";"England";"2003-02-10";"2006-10-17"
"248";"Melifaxis";"United States of America";"2003-02-10";"2025-11-09"
"249";"Colin";"Canada";"2003-02-10";"2014-04-01"
"251";"biggdork";"United States of America";"2003-02-11";"2017-12-04"
"252";"Balrog";"Canada";"2003-02-11";"2004-09-24"
"253";"Thetian";"United States of America";"2003-02-11";"2013-08-06"
"256";"Deacon";"England";"2003-02-11";"2024-07-25"
"257";"Geno";"England";"2003-02-11";"2004-08-11"
"259";"voyagers_uk";"England";"2003-02-11";"2017-07-04"
"260";"Heiper";"Norway";"2003-02-11";"2009-06-29"
"264";"LouisX";"France";"2003-02-11";"2025-10-01"
"266";"emilio68it";"Italy";"2003-02-11";"2026-03-30"
"268";"TBL";"England";"2003-02-11";"2004-08-11"
"270";"Haggislad";"England";"2003-02-11";"2005-12-07"
"272";"Kafre";"Spain";"2003-02-11";"2024-07-17"
"273";"BigD";"New Zealand";"2003-02-11";"2004-08-12"
"274";"Diesel";"England";"2003-02-11";"2004-08-15"
"278";"Gertwise";"United States of America";"2003-02-11";"2008-01-27"
"279";"Zergo";"United States of America";"2003-02-11";"2004-08-11"
"282";"horekim";"Denmark";"2003-02-11";"2021-01-29"
"283";"Quermitt";"Belgium";"2003-02-11";"2023-07-26"
"285";"DaveGee";"England";"2003-02-11";"2004-10-09"
"286";"Chaos_Dwarf";"United States of America";"2003-02-11";"2024-11-18"
"288";"Marauder";"United States of America";"2003-02-11";"2013-07-04"
"291";"Clutch";"United States of America";"2003-02-11";"2022-05-11"
"296";"Frank";"Germany";"2003-02-11";"2018-07-08"
"302";"Bahkara";"United States of America";"2003-02-11";"2026-03-14"
"307";"JervisJ";"England";"2003-02-11";"2011-07-28"
"308";"AndyH";"England";"2003-02-11";"2011-07-28"
"309";"Da_Todfatha";"United States of America";"2003-02-11";"2004-08-11"
"313";"harchunk";"United States of America";"2003-02-11";"2004-08-11"
"314";"Tomba";"England";"2003-02-11";"2020-12-22"
"315";"CoachGrodd";"United States of America";"2003-02-11";"2004-08-11"
"316";"ThrudsFan";"United States of America";"2003-02-11";"2009-09-10"
"317";"Joaquim";"Portugal";"2003-02-11";"2004-08-11"
"319";"jmyalls";"United States of America";"2003-02-11";"2004-08-11"
"320";"Krag_Ironwood";"Australia";"2003-02-11";"2006-04-10"
"321";"Madfistwillly";"United States of America";"2003-02-11";"2004-08-18"
"322";"broncofan";"United States of America";"2003-02-11";"2004-08-11"
"323";"Yzerman";"United States of America";"2003-02-11";"2004-08-11"
"325";"Pogo";"United States of America";"2003-02-11";"2004-08-11"
"326";"Tysonium";"United States of America";"2003-02-11";"2004-08-11"
"327";"Charger";"United States of America";"2003-02-12";"2016-07-27"
"329";"Elan";"Australia";"2003-02-12";"2024-11-02"
"335";"mtmanty";"Finland";"2003-02-12";"2004-08-12"
"340";"McSnaga";"England";"2003-02-12";"2024-10-07"
"341";"Prince";"Germany";"2003-02-12";"2026-05-20"
"347";"Aramil";"Italy";"2003-02-12";"2024-05-29"
"363";"Heuk";"Germany";"2003-02-12";"2004-08-16"
"367";"Dal_Grumbaki";"England";"2003-02-12";"2004-08-12"
"369";"LuisClavijo";"Colombia";"2003-02-12";"2018-06-23"
"371";"Loki";"Scotland";"2003-02-12";"2025-09-30"
"372";"Maitre_tactac";"France";"2003-02-12";"2027-06-18"
"379";"Holf003";"England";"2003-02-12";"2006-08-17"
"393";"elvisdeadly";"England";"2003-02-12";"2004-08-15"
"395";"badkarma";"Sweden";"2003-02-12";"2004-08-12"
"401";"Limekiller";"Canada";"2003-02-12";"2004-08-12"
"403";"PaulRoper";"England";"2003-02-12";"2004-08-12"
"405";"Lightingbug";"United States of America";"2003-02-12";"2009-06-30"
"412";"markodemus";"United States of America";"2003-02-12";"2005-10-07"
"417";"Madjax";"United States of America";"2003-02-13";"2005-10-09"
"419";"Arkhandzar";"France";"2003-02-13";"2018-12-14"
"421";"Puckohue";"Sweden";"2003-02-13";"2011-10-30"
"433";"Aristodeimos";"United States of America";"2003-02-13";"2013-07-18"
"434";"Lloyd";"Australia";"2003-02-13";"2009-02-03"
"435";"bingbong186";"Australia";"2003-02-13";"2004-08-13"
"436";"Robert";"Australia";"2003-02-13";"2004-08-13"
"437";"dm.marshall";"Australia";"2003-02-13";"2004-08-13"
"438";"nmoran";"Australia";"2003-02-13";"2004-08-13"
"439";"shadow";"Australia";"2003-02-13";"2014-04-16"
"440";"StephenBlack";"Australia";"2003-02-13";"2004-08-13"
"441";"freckles";"Australia";"2003-02-13";"2025-07-05"
"442";"philyoung";"Australia";"2003-02-13";"2006-05-03"
"443";"smeborg";"New Zealand";"2003-02-13";"2020-09-12"
"444";"ponkavitch";"Australia";"2003-02-13";"2018-07-04"
"445";"Chopper";"Australia";"2003-02-13";"2018-01-08"
"446";"beldavi";"Australia";"2003-02-13";"2004-08-13"
"447";"dodgy";"Australia";"2003-02-13";"2004-08-13"
"448";"Bevan";"Australia";"2003-02-13";"2011-01-30"
"449";"cooties";"";"2003-02-13";"2004-08-13"
"450";"mkfan";"Australia";"2003-02-13";"2012-05-22"
"451";"Drakeular";"Australia";"2003-02-13";"2019-02-11"
"452";"liquidice";"";"2003-02-13";"2004-08-13"
"453";"crazyzig";"Australia";"2003-02-13";"2006-10-14"
"454";"jaron";"Australia";"2003-02-13";"2011-01-29"
"455";"blackball";"Australia";"2003-02-13";"2004-08-13"
"456";"Azza";"Australia";"2003-02-13";"2018-07-04"
"457";"spree";"Australia";"2003-02-13";"2012-02-12"
"458";"shambles";"Australia";"2003-02-13";"2015-02-17"
"459";"Gornak";"Australia";"2003-02-13";"2007-02-02"
"460";"Nobby";"Australia";"2003-02-13";"2006-01-27"
"461";"biggy";"Australia";"2003-02-13";"2024-07-05"
"462";"IbsontheGrey";"Australia";"2003-02-13";"2004-08-13"
"463";"mhorton";"Australia";"2003-02-13";"2006-01-27"
"465";"teresch";"Germany";"2003-02-13";"2004-08-13"
"468";"Traveller";"Germany";"2003-02-13";"2027-04-10"
"472";"joker_BBBL";"France";"2003-02-13";"2025-05-29"
"490";"lordkenneth";"Norway";"2003-02-13";"2004-08-13"
"493";"Mordredd";"England";"2003-02-13";"2023-03-11"
"494";"Khail";"United States of America";"2003-02-13";"2026-06-15"
"495";"alakhai";"Spain";"2003-02-13";"2013-12-17"
"497";"Rebmalim";"United States of America";"2003-02-13";"2004-08-13"
"498";"Kuhlman";"United States of America";"2003-02-13";"2004-08-13"
"499";"mudpyr8";"United States of America";"2003-02-13";"2004-08-13"
"500";"Norbor";"United States of America";"2003-02-13";"2004-08-15"
"501";"Arktoris";"United States of America";"2003-02-13";"2004-08-13"
"506";"Aldarian";"United States of America";"2003-02-13";"2004-08-13"
"509";"Jmac";"United States of America";"2003-02-13";"2004-08-13"
"510";"kwailung";"United States of America";"2003-02-13";"2007-12-20"
"513";"lachande";"United States of America";"2003-02-13";"2004-08-13"
"517";"Rustycan";"Canada";"2003-02-13";"2014-10-03"
"519";"vt_doogie";"United States of America";"2003-02-13";"2026-02-13"
"520";"Balbaroy";"Canada";"2003-02-13";"2033-10-03"
"521";"ohiohuskies";"England";"2003-02-13";"2004-08-13"
"524";"redgoober12";"United States of America";"2003-02-14";"2010-08-14"
"525";"Wadedidit";"Australia";"2003-02-14";"2025-01-01"
"528";"PowrDragn";"United States of America";"2003-02-14";"2004-08-27"
"531";"TheUniGoblin";"United States of America";"2003-02-14";"2004-08-14"
"533";"Spiky";"England";"2003-02-14";"2022-09-12"
"538";"Tantras";"England";"2003-02-14";"2004-08-14"
"541";"bonebreaka";"United States of America";"2003-02-14";"2004-08-14"
"544";"neverdodge_BBBL";"France";"2003-02-14";"2025-09-18"
"549";"Axl";"Finland";"2003-02-14";"2004-08-14"
"556";"Ben";"Canada";"2003-02-14";"2026-06-06"
"557";"Martin";"United States of America";"2003-02-14";"2004-08-14"
"558";"JackDragna";"United States of America";"2003-02-14";"2004-08-20"
"559";"jaylazer";"United States of America";"2003-02-14";"2020-08-08"
"561";"two_heads_talking";"United States of America";"2003-02-14";"2010-01-08"
"566";"dervish";"United States of America";"2003-02-14";"2004-08-14"
"567";"Shadewe";"United States of America";"2003-02-14";"2016-06-01"
"568";"ChrisB";"New Zealand";"2003-02-14";"2004-08-14"
"570";"Ddraig.Coch";"England";"2003-02-14";"2004-08-14"
"572";"renuvin";"England";"2003-02-14";"2004-08-14"
"573";"Nutty01";"Australia";"2003-02-14";"2004-08-14"
"574";"Snake_Eyes";"Austria";"2003-02-14";"2025-06-04"
"578";"MenionLeah";"United States of America";"2003-02-14";"2004-08-14"
"579";"Adrian_Finklehelm";"United States of America";"2003-02-14";"2014-04-19"
"580";"jfansler";"United States of America";"2003-02-14";"2004-08-14"
"581";"ZanzerTem";"United States of America";"2003-02-14";"2026-01-06"
"582";"mikeyc222";"United States of America";"2003-02-14";"2018-02-04"
"583";"batcok";"United States of America";"2003-02-14";"2017-11-28"
"586";"GrendelKahn";"New Zealand";"2003-02-15";"2025-01-27"
"591";"dogcressuk";"England";"2003-02-15";"2004-08-15"
"598";"EdKloss";"United States of America";"2003-02-15";"2004-08-15"
"601";"SBG";"Canada";"2003-02-15";"2025-06-24"
"605";"Motorcycleus2000";"United States of America";"2003-02-15";"2004-08-20"
"606";"coachblacknife";"England";"2003-02-15";"2004-08-15"
"609";"spindex";"United States of America";"2003-02-15";"2004-08-15"
"612";"hoxworth";"United States of America";"2003-02-15";"2013-10-17"
"618";"Pigsofa";"Canada";"2003-02-15";"2026-08-22"
"621";"Wedgy";"United States of America";"2003-02-16";"2004-08-16"
"626";"kaboom";"France";"2003-02-16";"2004-12-24"
"630";"brother_kaisan";"United States of America";"2003-02-16";"2004-08-16"
"631";"Britman71";"United States of America";"2003-02-16";"2004-08-16"
"634";"Xhilong";"United States of America";"2003-02-16";"2004-08-16"
"635";"pcdorney";"Canada";"2003-02-16";"2004-09-14"
"638";"Jerrytel";"United States of America";"2003-02-16";"2023-10-10"
"640";"shrekk";"United States of America";"2003-02-16";"2008-01-31"
"646";"RedOrc";"United States of America";"2003-02-17";"2015-05-09"
"650";"Esrik";"United States of America";"2003-02-17";"2014-08-03"
"652";"Captain_Chaos";"Netherlands";"2003-02-17";"2005-10-17"
"654";"Frederyck";"Sweden";"2003-02-17";"2004-08-17"
"656";"SirJacks";"France";"2003-02-17";"2004-09-11"
"663";"Deejay";"England";"2003-02-17";"2004-08-17"
"674";"kain666";"Spain";"2003-02-17";"2016-11-08"
"677";"puzzlemonkey";"United States of America";"2003-02-17";"2004-08-17"
"678";"soda";"France";"2003-02-17";"2004-08-17"
"680";"CAPTIANSKINKIE";"United States of America";"2003-02-17";"2004-08-21"
"697";"Gang_Green";"United States of America";"2003-02-17";"2016-01-31"
"701";"destro";"United States of America";"2003-02-18";"2008-08-22"
"704";"Sammy_Slaan";"United States of America";"2003-02-18";"2006-04-12"
"713";"Fubar";"England";"2003-02-18";"2007-11-02"
"716";"Starbold";"England";"2003-02-18";"2004-08-18"
"720";"Percyworld_10";"Sweden";"2003-02-18";"2004-08-18"
"722";"Tunagami";"United States of America";"2003-02-18";"2004-08-18"
"724";"Sped2500";"United States of America";"2003-02-18";"2004-08-18"
"725";"Pitta";"United States of America";"2003-02-18";"2004-08-18"
"726";"Slinky78";"Scotland";"2003-02-18";"2025-07-04"
"732";"Togashi";"Australia";"2003-02-18";"2004-08-18"
"736";"gruesome";"United States of America";"2003-02-18";"2004-08-18"
"737";"Brandi75";"United States of America";"2003-02-18";"2004-08-18"
"740";"camy";"Spain";"2003-02-19";"2012-03-09"
"750";"Snorson";"Germany";"2003-02-19";"2010-03-10"
"752";"Tony";"United States of America";"2003-02-19";"2004-08-19"
"754";"hawkmoon";"England";"2003-02-19";"2004-08-19"
"758";"ddouglas";"United States of America";"2003-02-19";"2004-08-19"
"761";"IBurgleHam";"United States of America";"2003-02-19";"2005-08-19"
"762";"BennyRoberts";"United States of America";"2003-02-19";"2004-08-19"
"764";"KarlLindemann";"United States of America";"2003-02-19";"2005-08-19"
"766";"ratboy13";"England";"2003-02-19";"2004-08-19"
"767";"Kungfooery";"England";"2003-02-19";"2004-08-19"
"772";"madrobot";"United States of America";"2003-02-19";"2024-09-19"
"778";"oberon_wolf";"England";"2015-08-23";"2025-09-03"
"780";"IrishMike";"Ireland";"2003-02-20";"2004-08-20"
"781";"oja";"Sweden";"2003-02-20";"2004-08-20"
"783";"Chris";"England";"2003-02-20";"2023-03-17"
"787";"Grunson";"United States of America";"2003-02-20";"2024-05-29"
"801";"panzerfaust1";"United States of America";"2003-02-20";"2004-08-20"
"804";"frogrodeo";"United States of America";"2003-02-20";"2004-08-20"
"820";"martynq";"England";"2003-02-21";"2004-08-21"
"824";"Doesy";"Germany";"2003-02-21";"2004-08-21"
"827";"drowgamer";"United States of America";"2003-02-21";"2004-08-24"
"836";"Bkleen";"United States of America";"2003-02-22";"2004-08-22"
"843";"ElfinsinkiElite";"United States of America";"2003-02-22";"2004-08-22"
"844";"CrudeSquire";"United States of America";"2003-02-22";"2017-04-19"
"846";"Have11toes";"United States of America";"2003-02-22";"2005-02-05"
"848";"Vomit_lickspittle";"United States of America";"2003-02-22";"2007-04-07"
"859";"JasonC";"United States of America";"2003-02-22";"2005-10-17"
"864";"joernu2";"Germany";"2003-02-23";"2004-08-23"
"868";"bobbyrob";"England";"2003-02-23";"2004-08-23"
"871";"Woofer";"Sweden";"2003-02-23";"2004-08-23"
"873";"NogrilDaBloo";"United States of America";"2003-02-23";"2004-08-23"
"875";"BerrG";"Norway";"2003-02-23";"2004-09-03"
"877";"wombat";"England";"2003-02-23";"2004-08-23"
"880";"Gattolardo";"Italy";"2003-02-23";"2010-09-19"
"881";"blkdymnd";"United States of America";"2003-02-23";"2004-08-23"
"883";"jrm25";"United States of America";"2003-02-23";"2004-08-23"
"885";"unholyjeti";"United States of America";"2003-02-24";"2023-07-16"
"887";"crazylegs";"United States of America";"2003-02-24";"2008-03-20"
"888";"Fortunato";"England";"2003-02-24";"2004-08-24"
"889";"cw_de";"Germany";"2003-02-24";"2004-08-24"
"890";"Bluethree";"Italy";"2003-02-24";"2004-09-22"
"893";"Barash";"Netherlands";"2003-02-24";"2004-08-24"
"896";"joevictory";"United States of America";"2003-02-24";"2004-08-24"
"899";"smokeater";"United States of America";"2003-02-24";"2004-08-24"
"912";"MerryMarauder";"Canada";"2003-02-24";"2004-08-24"
"915";"Cornjob";"United States of America";"2003-02-24";"2004-08-24"
"916";"risu";"United States of America";"2003-02-24";"2004-10-26"
"922";"Orange_Jews";"Netherlands";"2003-02-24";"2018-07-13"
"931";"Cephme";"United States of America";"2003-02-25";"2004-08-25"
"942";"kenshin138";"United States of America";"2003-02-25";"2004-08-25"
"944";"DiablosMiller";"England";"2003-02-25";"2004-08-25"
"966";"skullharris";"United States of America";"2003-02-26";"2004-08-26"
"969";"Sunset";"United States of America";"2003-02-26";"2004-08-26"
"972";"Grimetooth";"United States of America";"2003-02-26";"2004-08-26"
"978";"DeadTurner";"United States of America";"2003-02-26";"2004-08-26"
"981";"Grimm182";"United States of America";"2003-02-26";"2004-08-26"
"983";"Harbor41";"United States of America";"2003-02-27";"2004-08-27"
"996";"Scipio";"Sweden";"2003-02-27";"2004-08-27"
"1002";"Terarin";"United States of America";"2003-02-27";"2026-02-20"
"1006";"edwolf";"United States of America";"2003-02-27";"2004-08-27"
"1009";"GColeman76";"Wales";"2003-02-27";"2027-01-10"
"1014";"daloonieshaman";"United States of America";"2003-02-28";"2023-02-02"
"1019";"pastaga";"France";"2003-02-28";"2005-12-10"
"1020";"HayfieldHairfeet";"United States of America";"2003-02-28";"2026-04-02"
"1023";"jhiaxushack";"United States of America";"2003-02-28";"2004-08-28"
"1031";"rickass";"United States of America";"2003-02-28";"2004-08-28"
"1039";"Bitterman";"England";"2003-03-01";"2004-09-01"
"1042";"weasel";"United States of America";"2003-03-01";"2012-08-07"
"1043";"Tobor";"United States of America";"2003-03-01";"2015-08-24"
"1046";"sorn38";"United States of America";"2003-03-02";"2004-09-02"
"1056";"Mof";"Denmark";"2003-03-02";"2004-09-02"
"1059";"deadboy";"United States of America";"2003-03-02";"2014-02-04"
"1062";"Ninmug";"United States of America";"2003-03-02";"2004-09-02"
"1063";"Trog";"United States of America";"2003-03-02";"2007-12-31"
"1070";"Gryffen88";"United States of America";"2003-03-03";"2011-10-08"
"1085";"Morlakar";"United States of America";"2003-03-03";"2004-09-03"
"1088";"Zoar";"United States of America";"2003-03-03";"2004-09-03"
"1090";"Alexsheng";"United States of America";"2003-03-03";"2004-09-03"
"1091";"Toffin";"United States of America";"2003-03-04";"2004-09-04"
"1100";"GoblinMaster";"Spain";"2003-03-04";"2004-09-04"
"1101";"Tommer";"Spain";"2003-03-04";"2017-11-30"
